text	label
Hello. I bought an item a while ago, and have since requested a refund.  However, upon checking my online statements, it seems that I haven't been issued a refund yet.  How can this be remedied?	Refund_not_showing_up
I am suppose to be getting a refund from something I purchased but it hasn't showed up in my account.	Refund_not_showing_up
I've been checking my statement to see if I've received a refund I requested from a seller a while ago has arrived. But it has not. This should have come back to me already. Can you help me figure out why it's not here and get my money back?	Refund_not_showing_up
I can't see my refund in my history.	Refund_not_showing_up
I requested a refund from Next because the dress I purchased had three arm holes. They said they sent the refund last Wednesday which is nearly a week ago and I still don't have it.  Why not?	Refund_not_showing_up
My refund is not showing.	Refund_not_showing_up
How can I investigate a missing refund?	Refund_not_showing_up
I don't see a refund in my account.	Refund_not_showing_up
Why isn't my refund on my statement?	Refund_not_showing_up
My refund for a purchase hasn't  cone through yet.	Refund_not_showing_up
What is taking so long with my refund?	Refund_not_showing_up
I can't see my refund on my account	Refund_not_showing_up
Is there a reason my refund isn't showing on my statement?	Refund_not_showing_up
My refund has not shown up on my statement.	Refund_not_showing_up
The refund doesn't show in my account	Refund_not_showing_up
I asked for a refund but its not here yet	Refund_not_showing_up
How long does it take for a refund to appear?	Refund_not_showing_up
How come my refund hasn't appeared on my statement?	Refund_not_showing_up
I keep checking my statements but nothing shows up. I requested a refund a long time ago but seems it's not reaching my account for some reason. Would you please help me get the money back from the seller.	Refund_not_showing_up
When do I see my recent refund in my statement	Refund_not_showing_up
When will a refund post to my account?	Refund_not_showing_up
I was suppose to be getting a refund for something I purchased a while ago, but It still hasnt been applied to my account. When will I get my money back?	Refund_not_showing_up
My refund has not yet been credited on my statement	Refund_not_showing_up
Hi! A seller that I requested a refund from a long time ago has yet to send the money into my account, even though I keep checking it. Can the seller be contacted by you guys to see what's going on?	Refund_not_showing_up
Where is my refund? it appears to be missing.	Refund_not_showing_up
I'm supposed to be getting a refund but it hasn't shown up, now what?	Refund_not_showing_up
I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet.  Can you check on your end to see if the money has reached you guys?	Refund_not_showing_up
I've been waiting for a refund where is it?	Refund_not_showing_up
how does my statement get updated so i know when a refund will reflect on my balance	Refund_not_showing_up
Why am I still waiting for my refund	Refund_not_showing_up
I cannot view the refunded amount in my account.	Refund_not_showing_up
When will I be able to see the refund	Refund_not_showing_up
I requested a refund but am unable to see it in my account. Why is that?	Refund_not_showing_up
