text	label
can pets spread covid19	can i get from feces animal pets
can a bears sneeze spread coronavirus	can i get from feces animal pets
do mosquitos carry covid	can i get from feces animal pets
should i eat uncooked meat like sushi without coronavirus concern	can i get from feces animal pets
does covid 19 stay on furniture	can i get from packages surfaces
does covid 19 stay on gaming systems	can i get from packages surfaces
does covid 19 go away after some time	can i get from packages surfaces
how effective is cleaning with alcohol	can i get from packages surfaces
I would like to donate to italy	donate
send donation to paris	donate
I would like to provide funding to spain	donate
donate to a local charity	donate
how is your day going corona doc	hi
morning corona doc	hi
gday doc	hi
does the virus spread slower beacuse of heat	how does corona spread
does covid only infect old people	how does corona spread
can a ladybug carry the virus	how does corona spread
can the virus spread by skin to skin interaction	how does corona spread
what are the statistics in canada for covid	latest numbers
how many people total in the world have recovered from the virus	latest numbers
how many people are infected in the bay area	latest numbers
how many people died in california yesterday	latest numbers
is it a myth that covid 19 started in china	myths
what should i not trust	myths
is it a myth that covid is made up	myths
what are some popular covid myths	myths
send me news updates from the last hour	news and press
updates from italy	news and press
any news today for rome	news and press
todays coronavirus update please	news and press
okay thank you so much coronabot	okay thanks
thanks for the help doc	okay thanks
so grateful for your help	okay thanks
i want to thank you for your help	okay thanks
best place to avoid getting the virus	protect yourself
does standing 6ft apart from others help	protect yourself
can i reuse my face mask	protect yourself
ways to protect myself from the virus	protect yourself
share this article	share
can i share this on my website	share
share the world health bot	share
share this bot on twitter	share
can i drive across state lines	travel
is it safe to travel now	travel
how do i travel safely	travel
what does the cdc recommend for travelers	travel
can you please tell me the symptoms of coronavirus	what are symptoms
can corona virus because pnumonia	what are symptoms
is chest pain a sign i have covid 19	what are symptoms
how many different symptoms are there	what are symptoms
can medicine cure corona	what are treatment options
cure for covid 19	what are treatment options
can i get a vaccine for covid	what are treatment options
what can i use as a treatment for covid 19	what are treatment options
is public transportation considered a high risk area	what if i visited high risk area
is testing mandatory in the high risk areas	what if i visited high risk area
what qualifies as a high risk area for coronavirus	what if i visited high risk area
what is the nearest high risk area to me	what if i visited high risk area
enlighten me about the virus	what is corona
I would like to encounter anymore details on corona	what is corona
may i have more information on covid	what is corona
care to explain explicit details on corona	what is corona
