text	label
"From: mangoe@cs.umd.edu (Charley Wingate)Subject: Re: Origins of the bible.Adda Wainwright writes:>He stated that thousands of bibles were discovered at a certain point in>time which were syllable-perfect.  This therefore meant that there must have>been one copy at a certain time; the time quoted by my acquaintance was>approximately 50 years after the death of Jesus.This is, as far as I know, complete nonsense.  The codification of the bibleas we have it now came very much later.-- C. Wingate        + ""The peace of God, it is no peace,                  +    but strife closed in the sod.mangoe@cs.umd.edu +  Yet, brothers, pray for but one thing:tove!mangoe       +    the marv'lous peace of God."""	alt.atheism
From: keith@cco.caltech.edu (Keith Allan Schneider)Subject: Re: <Political Atheists?mathew <mathew@mantis.co.uk> writes:>As for rape, surely there the burden of guilt is solely on the rapist?Not so.  If you are thrown into a cage with a tiger and get mauled, do youblame the tiger?keith	alt.atheism
From: naren@tekig1.PEN.TEK.COM (Naren Bala)Subject: Re: Genocide is Caused by Atheism>snm6394@ultb.isc.rit.edu (S.N. Mozumder ) writes:> More horrible deaths resulted from atheism than anything else.>LIST OF KILLINGS IN THE NAME OF RELIGION 1. Iran-Iraq War: 1,000,0002. Civil War in Sudan: 1,000,0003, Riots in India-Pakistan in 1947: 1,000,0004. Massacares in Bangladesh in 1971: 1,000,0005. Inquistions in America in 1500s: x million (x=??)6. Crusades: ??I am sure that people can add a lot more to the list.I wonder what Bobby has to say about the above. Standard Excuses will not be accepted.-- NarenAll standard disclaimers apply	alt.atheism
From: sandvik@newton.apple.com (Kent Sandvik)Subject: Re: islamic genocide> O.K., so pick former Yugoslavia instead and say their problems are caused> by communism, it doesn't really matter.  But I guess religious leaders are> calling for an end to that, too, so it can't be religiously motivated.  This> despite the fact that the Christians carve crosses in dead Muslims chests.> Maybe they just want land.  Maybe its something else they want.  Maybe the> cross carvings are just accidental.  I don't know.  Just looks suspicious.Most likely the tragic situation in Bosnia is a combination of ethnicaland religious motives, where religion is just one attribute that separatesthe groups from each other.But I must agree that the sad saga in Bosnia is a terrible exampleof a case where religion is not helping, instead it is used as a weaponagainst other humans. And my sympathies are mostly on the Bosnian side,it looks like the Serbs are the oppressors, willing to use evenChristianity as a weapon against their former friends.Cheers,Kent---sandvik@newton.apple.com. ALink: KSAND -- Private activities on the net.	alt.atheism
"From: ingles@engin.umich.edu (Ray Ingles)Subject: Re: Yeah, RightIn article <66014@mimsy.umd.edu> mangoe@cs.umd.edu (Charley Wingate) writes:>Benedikt Rosenau writes:>>>And what about that revelation thing, Charley?>>If you're talking about this intellectual engagement of revelation, well,>it's obviously a risk one takes. Ah, now here is the core question. Let me suggest a scenario. We will grant that a God exists, and uses revelation to communicatewith humans. (Said revelation taking the form (paraphrased from yourown words) 'This infinitely powerful deity grabs some poor schmuck,makes him take dictation, and then hides away for a few hundred years'.) Now, there exists a human who has not personally experienced arevelation. This person observes that not only do these revelations seemto contain elements that contradict rather strongly aspects of theobserved world (which is all this person has ever seen), but there aremany mutually contradictory claims of revelation. Now, based on this, can this person be blamed for concluding, absenta personal revelation of their own, that there is almost certainlynothing to this 'revelation' thing?>I'm not an objectivist, so I'm not particularly impressed with problems of>conceptualization.  The problem in this case is at least as bad as that of>trying to explain quantum mechanics and relativity in the terms of ordinary>experience.  One can get some rough understanding, but the language is, from>the perspective of ordinary phenomena, inconsistent, and from the>perspective of what's being described, rather inexact (to be charitable).>>An analogous situation (supposedly) obtains in metaphysics; the problem is>that the ""better"" descriptive language is not available. Absent this better language, and absent observations in support of theclaims of revelation, can one be blamed for doubting the whole thing? Here is what I am driving at: I have thought a long time about this. Ihave come to the honest conclusion that if there is a deity, it isnothing like the ones proposed by any religion that I am familiar with. Now, if there does happen to be, say, a Christian God, will I be heldaccountable for such an honest mistake? Sincerely, Ray Ingles               ingles@engin.umich.edu ""The meek can *have* the Earth. The rest of us are going to thestars!"" - Robert A. Heinlein"	alt.atheism
"From: livesey@solntze.wpd.sgi.com (Jon Livesey)Subject: Re: A Little Too SatanicIn article <66486@mimsy.umd.edu>, mangoe@cs.umd.edu (Charley Wingate) writes:|> Jeff West writes:|> |> >You claimed that people that took the time to translate the bible would|> >also take the time to get it right.  But here in less than a couple|> >generations you've been given ample proof (agreed to by yourself above)|> >that the ""new"" versions ""tends to be out of step with other modern|> >translations.""|> |> What I said was that people took time to *copy* *the* *text* correctly.|> Translations present completely different issues.So why do I read in the papers that the Qumram texts had ""differentversions"" of some OT texts.   Did I misunderstand?jon. "	alt.atheism
"Subject: Re: Concerning God's Morality (long)From: J5J@psuvm.psu.edu (John A. Johnson)In article <1993Apr5.084042.822@batman.bmd.trw.com>, jbrown@batman.bmd.trw.comresponds to a lot of grief given to him>In article <1993Apr3.095220.24632@leland.Stanford.EDU>,>galahad@leland.Stanford.EDU (Scott Compton)a.k.a. ""The Sagemaster""[ . . .]>But then I ask, So?  Where is this relevant to my discussion in>answering John's question of why?  Why are there genetic diseases,>and why are there so many bacterial and viral diseases which require>babies to develop antibodies.  Is it God's fault? (the original>question) -- I say no, it is not.Most of Scotty's followup *was* irrelevant to the original question,but this is not unusual, as threads often quickly evolve away fromthe original topic.  What I could not understand is why Jim spent somuch time responding to what he regarded as irrelevancies.[ . . . ]>> May I ask, where is this 'collective' bullcrap coming from?[ . . . ]>>By ""collective"" I was referring to the idea that God works with>humanity on two levels, individually and collectively.  If mankind>as a whole decides to undertake a certain action (the majority of>mankind),Well, I guess hypothetical Adam was ""the majority of mankind""seeing how he was the ONLY man at the time.>then God will allow the consequences of that action to>affect mankind as a whole.  If you didn't understand that, then I>apologize for not using one and two syllable words in my discussion.I understand what you mean by ""collective,"" but I think it is aninsane perversion of justice.  What sort of judge would punish thedescendants for a crime committed by their ancestor?>If you want to be sure that I read your post and to provide a>response, send a copy to Jim_Brown@oz.bmd.trw.com.  I can't read>a.a. every day, and some posts slip by.  Thanks.Well, I must admit that you probably read a.a. more often than I readthe Bible these days.  But you missed a couple of good followups toyour post.  I'm sending you a personal copy of my followup which Ihope you will respond to publically in a.a.JohnThe Sageless"	alt.atheism
"From: livesey@solntze.wpd.sgi.com (Jon Livesey)Subject: Re: <Political Atheists?In article <1qnp13INN816@gap.caltech.edu>, keith@cco.caltech.edu (Keith Allan Schneider) writes:|> livesey@solntze.wpd.sgi.com (Jon Livesey) writes:|> |> >Perhaps the chimps that failed to evolve cooperative behaviour|> >died out, and we are left with the ones that did evolve such|> >behaviour, entirely by chance.|> |> That's the entire point!No, that's the point of evolution, not the point of ""naturalmorality"".   Unless, of course, as I have suggested severaltimes already, ""natural morality"" is just a renaming.|> |> >Are you going to proclaim a natural morality every time an|> >organism evolves cooperative behaviour?|> |> Yes!|> |> Natural morality is a morality that developed naturally.But your ""yes?"" is actually stronger than this.    You areagreeing that ""every time an organism evolves cooperative behaviour"" you are going to call it a ""natural morality.""> >What about the natural morality of bee dance?>> Huh?Bee dance is a naturally developed piece of cooperative behaviour.jon."	alt.atheism
From: bil@okcforum.osrhe.edu (Bill Conner)Subject: Re: islamic authority over womenSCOTT D. SAUYET (SSAUYET@eagle.wesleyan.edu) wrote:: Regardless of people's hidden motivations, the stated reasons for many: wars include religion.  Of course you can always claim that the REAL: reason was economics, politics, ethnic strife, or whatever.  But the: fact remains that the justification for many wars has been to conquer: the heathens.: If you want to say, for instance, that economics was the chief cause: of the Crusades, you could certainly make that point.  But someone: could come along and demonstrate that it was REALLY something else, in: the same manner you show that it was REALLY not religion.  You could: in this manner eliminate all possible causes for the Crusades.:         Scott,I don't have to make outrageous claims about religion's affecting andeffecting history, for the purpsoe of a.a, all I have to do point outthat many claims made here are wrong and do nothing to validateatheism. At no time have I made any statement that religion was thesole cause of anything, what I have done is point out that those whodo make that kind of claim are mistaken, usually deliberately. To credit religion with the awesome power to dominate history is tomisunderstand human nature, the function of religion and of course,history. I believe that those who distort history in this way knowexaclty what they're doing, and do it only for affect.Bill	alt.atheism
"From: bil@okcforum.osrhe.edu (Bill Conner)Subject: Re: After 2000 years, can we say that Christian Morality isMike Cobb (cobb@alexia.lis.uiuc.edu) wrote:: Very true (length of time for discussions on creationism vs evolutionism). : Atheists and Christians have been debating since ?? and still debate with : unabated passion 8-).Mike,I've seen referrences to ""Creation vs Evolution"" several times in a.aand I have question. Is either point of view derived from directobservation; can either be scientific? I wonder if the wholecontroversy is more concerned with the consequences of the ""Truth""rather than the truth itself. Both sides seem to hold to a philosophical outcome, and I can't helpwondering which came first. As I've pointed out elsewhere, my view ofhuman nature makes me believe that there is no way of knowinganyhthing objectively - all knowledge is inherently subjective. So, inthe context of a.a, would you take a stand based on what you actuallyknow to be true or on what you want to be true and how can you tellthe difference?Bill"	alt.atheism
