text	label
do they take reservations at carrabbas	accept_reservations
do you have any idea if the flying wing does reservations	accept_reservations
does black bear diner in tracy take reservations	accept_reservations
does osteria francescana take reservations	accept_reservations
how many culver's take reservations	accept_reservations
i want to know if the new york restaurant takes reservations	accept_reservations
what locations of applebee's take reservations	accept_reservations
does black rock take reservations	accept_reservations
do you know if outback allows reservations	accept_reservations
does bj's take reservations	accept_reservations
can i reserve tables at the new york restaurant	accept_reservations
can i make a reservation at chima steakhouse in chicago	accept_reservations
does buffalo wild wings in concord take reservations	accept_reservations
can i make a reservation at michael's	accept_reservations
can applebees take any reservations	accept_reservations
will maggianos in charlotte allow me to make a reservation	accept_reservations
does applebees take reservations	accept_reservations
do you know if l'arpege will ask for reservations	accept_reservations
am i able to make reservations at spago in beverly hills	accept_reservations
is it possible to reserve a table at white castle	accept_reservations
do they take reservations at arby's	accept_reservations
do you know if taco bell takes reservations	accept_reservations
does iron skillet at the truck stop trake reservations	accept_reservations
is it possible to do a reservation at the bellagio	accept_reservations
eleven madison park takes reservations right	accept_reservations
does minnies cafe in modesto take reservations	accept_reservations
please tell me does zeus do reservations	accept_reservations
is it possible to get reservations at ihop	accept_reservations
are reservations taken at redrobin	accept_reservations
find out of grub burger takes reservations	accept_reservations
is it possible to make reservations in advance for macaroni grill	accept_reservations
do they take reservations at olive garden	accept_reservations
i need to make a reservation to long horn's, can i	accept_reservations
tell me if luigis in brick takes reservations	accept_reservations
does bjs take reservations	accept_reservations
please find out if napolis takes lunch reservations	accept_reservations
can you find the reason for the block on my account	account_blocked
i think my account is blocked	account_blocked
my capital one account has a hold; why	account_blocked
please let me into my bank account	account_blocked
my checking account has a hold on it and i need to know why	account_blocked
how did my bank account is frozen	account_blocked
there seems to be an issue with my account	account_blocked
why am i seeing a hold on my charles schwab account	account_blocked
why is my bank account frozen	account_blocked
did someone who is unauthorized try to get into my bank account	account_blocked
check to see why us bank placed a hold on my account	account_blocked
why isn't it letting me into my bank account	account_blocked
what was the reason my bank account was frozen	account_blocked
i don't understand why i have been barred from accessing my own account	account_blocked
do you know why the bank put a hold on my joint checking account	account_blocked
why did my bank account freeze	account_blocked
can you check and see why us bank put a hold on my account	account_blocked
please tell me the reason for the hold on my bb&t account	account_blocked
what are the possible reasons behind frozen bank account	account_blocked
what reason could the bank have had for blocking my account	account_blocked
why did my bank place a hold on my bank account	account_blocked
what would cause me to be locked out of my bank account	account_blocked
tell me why am i locked out of my bank account	account_blocked
my account appears to be blocked but i have no idea why that could be	account_blocked
do you know why my account is blocked	account_blocked
why would the bank have frozen my account	account_blocked
why does my visa account have a hold on it	account_blocked
great western bank's login screen tells me i'm locked out but not why	account_blocked
how did my bank account get frozen	account_blocked
could you please tell me, my wells fargo account, is there a hold and why	account_blocked
my account is blocked, help me figure out why	account_blocked
tell me the reason there is a hold or block on my account	account_blocked
why can't i use my money market account	account_blocked
what would cause my bank account to be frozen	account_blocked
can you explain to me why my bank account might be frozen	account_blocked
it seems that my account is blocked and i'm not sure why	account_blocked
set an alarm for 5am	alarm
i need an alarm set for ten pm and midnight	alarm
i need an alarm set	alarm
make sure my alarm is set for three thirty in the morning	alarm
i need to up by noon	alarm
i need an alarm set for 10:00 and another set for 3:00	alarm
please set me an alarm	alarm
set an alarm to start work and another to stop	alarm
create alarms for 8 pm and 9 pm	alarm
set the alarm now	alarm
set an alarm to wake me up at 5:30am	alarm
can you alert me at 6 in the morning	alarm
please create one alarm for 330 pm and one for 8 pm	alarm
set an alarm for me	alarm
create an alarm for 6am	alarm
you need to set alarm for me	alarm
please set up an alarm to go off tomorrow at daybreak	alarm
set an alarm for 05:00 and one for 16:00	alarm
i want an alarm set up	alarm
can i turn on the alarm now	alarm
initiate a new alarm please	alarm
please set an alarm	alarm
put in an alarm for 5pm	alarm
i need one alarm to go off at 6:30 am and a second alarm set for 8:00 am	alarm
set my alarm for getting up	alarm
make a new alarm	alarm
set my alarm for quarter after six tomorrow	alarm
set an alarm for lunch and another for dinner	alarm
i need alarm for both 4am and 7am	alarm
can you set an alarm	alarm
set an alarm for 9pm please	alarm
have an alarm set for three in the morning	alarm
make up a new alarm	alarm
i would like to have an alarm set for me	alarm
can you set alarm for me	alarm
set an alarm for 11 tomorrow	alarm
did my visa card app go through yet	application_status
what is the present status of my credit card application	application_status
