text	label
It would work on a bedside table . However , I want to set it on a shelf , and you can not read the time if you are looking up at it , because of the way the base proturdes , this can not be adjusted . I just unpacked it and I 'm sending it back . 	Alarm Clock
I bought it for the `` big rig '' as a travel clock while i 'm on the road . Worked 1 day then stopped working . It seemed to be well made -LRB- as much as electronics are these days -RRB- but since it stopped working I can not vouch for it 's usefulness . Avoid it IMO . 	Alarm Clock
This clock is easy to setup and once the tracker feature locks on to the satellite , it keeps very accurate time . Easy to see at night . The other nice feature is the battery that protects the clock from losing time during short periods of power outage . Good buy for an area the experiences brief but frequent power outages . 	Alarm Clock
I bought two of these about 1 month ago . One is working fine and the other one stopped working after 1 week . I tried another battery but it did n't help . The light no longer works and the time makes clunking noises and the alarm does n't sound . I am going to try to get a refund or replacement for it . 	Alarm Clock
This clock has some cool features . The bell is somewhat loud , but the flashing light usually wakes me up first . And I love it 's look , with a couple of exceptions . As a designer , I 'm bothered by the transparency of the left side of the clock , especially when my bedside table lamp is illuminated . Also , the light for the clock face has an orange-colored hot spot by the ' 3 ' . I 'm not sure why that is , and if it 's all of them or just mine . Maybe I 'm being too picky ... I try to imagine that the original clocks had these same defects , and try to love the clock anyway . 	Alarm Clock
When not lit , the clock readout is a little difficult to read . You can adjust the angle of the base to make it easier , so that 's a plus . The alarm is loud - I 'm a pretty sound sleeper and this little clock gets me up . I like that it folds up , fits easily in luggage or carry-on . 	Alarm Clock
First of all it is a cordless and very light clock which some people may find useful . Its more like something you can travel with vs something you would use in your bedroom . I guess i missed the cordless part in description . Because it is cordless the background light does not stay on and at night you can not see the time unless you press on snooze and the light only appears for a few seconds . Unless you press on snooze there is no background light and you cant see a thing on this clock . I prefer alarms with background light so it stays on through the day and night and i do not have to press on anything to see the time . Secondly , its been over 24 hours and the clock still did not synchronize with time zone and i will have to set it up manually now . It is low priced alarm clock and you get what you pay for . I would go for a more expensive alarm of the same brand as they are much better and more solid clocks with backup battery installed in case the electricity goes off and etc. . 	Alarm Clock
Great clock ... large easy to read hands ... this clock keep excellent time . . It is too big to put in your suitcase for traveling but good for home usage . 	Alarm Clock
It is nice to wake up to wind chimes on a morning . I have noticed a few people here have complained about the lowest setting still being too bright ... and I agree . I have solved the problem by buying a roll of dark window tint cling ; it just sticks -LRB- non permanently -RRB- right on the front of the clock like any window cling sticks to glass . I had to buy a whole big roll and cut such a tiny piece off for the clock - but the roll will not go to waste as I have noticed a couple of windows in the house that would benefit from some dark window tint . 	Alarm Clock
I saw it in Brookstone a few days ago and was totally sold on the idea of `` self-setting '' . Well , that 's actually not very true . Pros : Large display with adjustable levels . The blue display also looks a lot better than the usual green or red . The alarms are easy to use . It `` should '' be able to automatically adjust for Daylight Savings Time . Cons : Brookstone is intentionally vague about what they mean by `` self-setting '' . No , it does n't connect to the US atomic clock as some reviewers say . It was merely pre-set in the factory , and sustained by the battery . If you look at their manual -LRB- -LRB- ... -RRB- -RRB- you will understand why : if you `` reset '' the clock , it wo n't reset to the current time . I did n't realize this until I was trying out the features and inadvertently changed the original clock . I thought by `` resetting '' the clock it will adjust back automatically . Nope . This was the feature that I thought was worth the price tag , but now I just feel cheated . The clock does use a battery -LRB- pre-installed -RRB- . So it is not really `` self-setting '' . While it stores the day\/month\/year info , there is no way to show them on the clock screen . And , it 's a lot easier and more tempting to turn of the alarms than snoozing : the button to turn it off is a lot taller than the snooze button . Overall , it 's not a bad one even if it is not really automatic . I just wish they were more straightforward about what it really is . 	Alarm Clock
Actually , it is a great economical analog clock with some neat features . However , the alarm is not loud enough for heavy sleepers , or hearing dimenished individuals , -LRB- old people -RRB- . 	Alarm Clock
Has a red backlight to the clock face . No radio -LRB- a bit disappointing at this price-point -RRB- . Articulating arms , hands , legs -LRB- I do n't remember if the head swivels , but I think not -RRB- . Tap the head to light up the backlight or turn off the alarm\/snooze . Not brick-compatible with other products from the same brand . About 8 inches tall . 	Alarm Clock
I do n't know why this says that it 's so loud ... it really is n't . I 'm kind of disappointed . I bought it for a friend who is a deep sleeper , and was hoping to wake the dead with the sound , but the alarm my husband bought at Wal Mart for $ 9.99 is about 3x louder . I think the only reason someone would want this is for the bed shaker attachment ... but definitely not the alarm tone ... it 's annoying ... but not too loud . I think my phone rings louder than this . 	Alarm Clock
I have a very difficult time getting up in the morning and this clock has worked out very well for me . First of all , it is so cute . The numbers change color and I can see them very clearly if I wake up at night . It is easy to set up . The alarm can get set very loud which is good for me . But the best part is the vibration feature which I place at the top of the bed under my shoulder area . When the alarm goes off , it vibrates , again reminding me to get up . I really love it . 	Alarm Clock
I bought this months ago based on the previous reviewers . I buy early this was a gift for my daughters high school graduation ! I thought this would be a great college gift ! Well months later she opens it takes to her room to try it and ... The time speeds up during the night !!!! So if you set it for 8:00 am it goes of at 6:00 or 5:00 am etc. . . So I got a lemon ... I threw 37.00 in the trash ! ... 	Alarm Clock
I was looking for a digital clock that I could see from about 60 feet . I help lead worship at church and speak often too , so we needed a clock that was visible from a distance . This clock has large , large red numbers -LRB- 2.5 inches high -RRB- and can be seen even by someone with nearsightedness like me . Even though it was n't made for the purpose of which I am using it , it works great ! 	Alarm Clock
