text	label
let me see my alarms	alarm_query
do i have any alarms set	alarm_query
please tell about the alarms	alarm_query
tell me what alarms are set for me	alarm_query
tell me if my alarm is set for the morning	alarm_query
what alarms are set for this week	alarm_query
is my alarm set	alarm_query
what are the next three alarms set to go off	alarm_query
my alarms	alarm_query
list alarms	alarm_query
do i have any alarms for tomorrow morning	alarm_query
read me my alarms	alarm_query
what alarms did i set today	alarm_query
tell me about alarms	alarm_query
do i have an alarm set for today	alarm_query
what time will my alarm go off today	alarm_query
show me what alarm times i've set for the week	alarm_query
please tell me about upcoming alarms	alarm_query
what alarms do i have set for thursday	alarm_query
check if i have set any alarm for morning	alarm_query
what alarms are set for today	alarm_query
please read out all the alarms that are set	alarm_query
what alarms do i have	alarm_query
show me the alarms that are set	alarm_query
give me the alarm times for the next two days	alarm_query
please tell me my alarms	alarm_query
what time is my alarm set for tomorrow morning	alarm_query
how many alarms have i set	alarm_query
what alarm do i have set for today	alarm_query
please tell me what alarms are on	alarm_query
what alarms do i got	alarm_query
what times are my alarms set for	alarm_query
have i got any alarms set	alarm_query
what time i am waking up tomorrow	alarm_query
today how many alarms do i have set	alarm_query
how many alarms are currently on my phone	alarm_query
what time have you set the alarm	alarm_query
do i have an alarm set for tomorrow	alarm_query
list all of my alarms	alarm_query
please let me know the morning alarm time kept for weekends	alarm_query
do i have any alarms	alarm_query
how many alarms are currently set	alarm_query
do i have any alarms set for six am tomorrow	alarm_query
what alarms are on right now	alarm_query
what times do my alarms go off	alarm_query
do i have an alarm set for morning flight	alarm_query
what alarms are coming up	alarm_query
what time is the alarm set for tomorrow	alarm_query
check if alarm is set for six am	alarm_query
what time is my wakeup alarm set for	alarm_query
are there any alarms	alarm_query
what days are my alarms set for	alarm_query
let me know about any alarms set today	alarm_query
please read me my alarms	alarm_query
do i have any alarms set for today	alarm_query
are there any alarms set right now	alarm_query
could you tell me about the alerts i have set	alarm_query
what alarms are set	alarm_query
is my wake up alarm set a six am	alarm_query
review the alarms i have	alarm_query
report alarm settings	alarm_query
list current set alarms	alarm_query
show me the alarms i've set	alarm_query
next alarm	alarm_query
how many alarms are set	alarm_query
check whether i have set any alarms for tomorrow morning	alarm_query
list all set alarms	alarm_query
can you tell me if i have any alarms set	alarm_query
have i set any alarm for today	alarm_query
how many alarms do i have set	alarm_query
remove set alarm	alarm_remove
set off this alarm	alarm_remove
reset alarm	alarm_remove
twelve am removed	alarm_remove
please remove the the alarm which i set	alarm_remove
this alarm needs to be permanently silenced	alarm_remove
please remove any alarms that i have set	alarm_remove
get rid of my eight am alarm	alarm_remove
Get rid of my current alarms	alarm_remove
please turn off my alarm for this evening	alarm_remove
stop wake up calls for this week	alarm_remove
remove all alarm of sunday	alarm_remove
turn off all of my alarms	alarm_remove
remove alarm if any	alarm_remove
remove my work alarm	alarm_remove
remove alarms set for tomorrow	alarm_remove
i no longer need the daily five pm alarm	alarm_remove
turn off any morning alarms after Friday	alarm_remove
disable my three pm alarm	alarm_remove
please remove my alarm	alarm_remove
cancel my three pm alarm	alarm_remove
remove my four am alarm	alarm_remove
remove alarm of six am on tuesday	alarm_remove
cancel wake up calls for this week	alarm_remove
remove my eight pm alarm and set it to seven pm	alarm_remove
please remove this alarm	alarm_remove
remove my early alarms	alarm_remove
kickball is over i do not need the alarm for kickball on wednesday evening any longer	alarm_remove
get rid of the five pm alarm	alarm_remove
remove number three alarm of list	alarm_remove
remove tuesday alarm of nine am	alarm_remove
remove the latest alarm	alarm_remove
unset all alarm which is set	alarm_remove
remove finlee's bedtime alarm	alarm_remove
remove wake up calls for this week	alarm_remove
please cancel all alarms for tomorrow	alarm_remove
remove my wake up alarm	alarm_remove
remove my morning alarm	alarm_remove
remove the alarm set for four hundred am	alarm_remove
remove all alarms set today	alarm_remove
remove my bedtime alarm	alarm_remove
cancel my alarm for tomorrow morning	alarm_remove
set alarm to begin	alarm_set
set alarm at nine am on next sunday	alarm_set
set a new alarm for that time	alarm_set
set an eight hundred am alarm for next tuesday	alarm_set
set an alarm for seven am	alarm_set
wake me up at this time	alarm_set
please make me wake up at four am tomorrow	alarm_set
set wake up Thursday seven am	alarm_set
create an alarm for six am	alarm_set
make an alarm to help me remember	alarm_set
please set an alarm clock for my next meeting with the team at three pm next friday	alarm_set
i need to get up at seven am	alarm_set
wake up time	alarm_set
set my alarm for time	alarm_set
schedule an alarm for next weeks dentist appointment	alarm_set
set alarm at six thirty am	alarm_set
set an alarm for me for tomorrow	alarm_set
set an alarm for next tuesdays meeting	alarm_set
please set an alarm at seven am tomorrow morning	alarm_set
set alarm at five am	alarm_set
set alarm for reminder	alarm_set
turn my morning alarm on	alarm_set
i need to get up at ten tomorrow	alarm_set
the set alarm for nine pm on Thursday night	alarm_set
remind me at six thirty pm	alarm_set
can you set an alarm for seven am	alarm_set
set an alarm for this eight hundred pm this evening	alarm_set
make a new alarm	alarm_set
set the alarm to seven am for work	alarm_set
fix an alarm	alarm_set
wake me up on Friday at five in the morning i need to catch the train	alarm_set
make me a wake up alarm for eight forty five am	alarm_set
olly set my alarm to go off in an hour	alarm_set
alarm set	alarm_set
set alarm for one hour from now	alarm_set
wake me up at five hundred and thirty	alarm_set
call me at six am	alarm_set
make an alarm	alarm_set
set alarm for nine am	alarm_set
create an alarm for today at ten am	alarm_set
set up each day an alarm at ten time for my meal	alarm_set
wake me at seven am	alarm_set
set an alarm for ten o'clock tomorrow morning	alarm_set
set alarm at two am	alarm_set
wake me up at time	alarm_set
set the alarm for nine am on weekends	alarm_set
alarm five pm tuesday	alarm_set
set alarm for eight am	alarm_set
set my alarm for six am tomorrow	alarm_set
set an alarm for four in the afternoon	alarm_set
put an alarm and wake me up at six am tomorrow morning	alarm_set
wake me up at seven am	alarm_set
wake me up at four am	alarm_set
set up an alarm clock at one pm	alarm_set
turn on my alarm	alarm_set
set an alarm for me at eight am	alarm_set
set an alarm for one hour from now	alarm_set
set an alarm for eight am	alarm_set
set my alarm for six am	alarm_set
set alarm for this event reminder repeating for ten times	alarm_set
set the time	alarm_set
set an alarm for tomorrow at six in the morning	alarm_set
can you set the alarm for one hundred and thirty	alarm_set
set an alarm at ten tomorrow to remind me a meeting	alarm_set
set my alarm for twelve pm	alarm_set
update alarm	alarm_set
let me know when it is ten	alarm_set
set an alarm for me for tomorrow at seven pm	alarm_set
add alarm	alarm_set
set a reminder i need to wake up at five am every morning	alarm_set
alarm ten am	alarm_set
please reduce the sound	audio_volume_down
please change the volume low of the speakers	audio_volume_down
speak quieter	audio_volume_down
i want to slow down my speaker	audio_volume_down
can you turn that down	audio_volume_down
lower the volume on the speakers	audio_volume_down
please adjust the speakers to a lower more comfortable level	audio_volume_down
please turn the volume down	audio_volume_down
lower the volume of the speakers	audio_volume_down
turn down the volume	audio_volume_down
decrease the volume	audio_volume_down
please lower the speaker volume	audio_volume_down
slow down the speaker volume	audio_volume_down
down	audio_volume_down
reduce volume	audio_volume_down
please slow down volume of speaker	audio_volume_down
your volume is too high please repeat that lower	audio_volume_down
lower the volume to twenty	audio_volume_down
set the volume to low	audio_volume_down
please turn down the volume	audio_volume_down
decrease volume to very soft	audio_volume_down
turn down volume twenty percent	audio_volume_down
lower the volume please	audio_volume_down
can you make it a little quieter	audio_volume_down
decrease the volume to ten	audio_volume_down
turn off the bass from the audio	audio_volume_down
turn the volume down	audio_volume_down
please reduce the speaker volume	audio_volume_down
it's really loud can you please turn the music down	audio_volume_down
mute the sound	audio_volume_mute
mute volume now	audio_volume_mute
silence volume on speakers	audio_volume_mute
i've got a meeting by tonight seven pm please mute the music for an hour	audio_volume_mute
help me to mute my speaker	audio_volume_mute
activate silent	audio_volume_mute
turn down the noise	audio_volume_mute
mute speakers	audio_volume_mute
quiet mode on until i am home from work	audio_volume_mute
quiet on	audio_volume_mute
please mute yourself	audio_volume_mute
mute sound	audio_volume_mute
quiet	audio_volume_mute
be silent for thirty minutes	audio_volume_mute
don't speak for an hour	audio_volume_mute
mute for one hour	audio_volume_mute
please quiet the speaker	audio_volume_mute
can you place the sound on mute	audio_volume_mute
silent	audio_volume_mute
can you mute my speaker	audio_volume_mute
please mute for five minutes	audio_volume_mute
i'm in a meeting please do not speak	audio_volume_mute
set music system to mute	audio_volume_mute
mute speaker	audio_volume_mute
down the speaker volume at the end of level	audio_volume_mute
please be quiet for another hour	audio_volume_mute
set volume to zero	audio_volume_mute
set the settings to mute	audio_volume_mute
don't respond for fifty seconds	audio_volume_mute
volume control	audio_volume_mute
mute the settings	audio_volume_mute
can you mute when i am not home	audio_volume_mute
don't make any sounds	audio_volume_mute
quiet time	audio_volume_mute
please keep quiet for the next hour	audio_volume_mute
google please be extra quiet the baby is sleeping	audio_volume_mute
from now on mute	audio_volume_mute
go to sleep	audio_volume_mute
turn sound off	audio_volume_mute
can you please be muted for a while	audio_volume_mute
mute the volume	audio_volume_mute
mute all responses now	audio_volume_mute
silent mode	audio_volume_mute
hey olly mute the speakers	audio_volume_mute
turn off media volume	audio_volume_mute
please mute the sound	audio_volume_mute
Please pause the song	audio_volume_mute
speakers off	audio_volume_mute
mute for the next hour please	audio_volume_mute
please hold for the next hour	audio_volume_mute
silence	audio_volume_mute
set the speakers to mute	audio_volume_mute
quiet please	audio_volume_mute
please do not speak	audio_volume_mute
sound off please	audio_volume_mute
mute sound on speakers please	audio_volume_mute
turn off the sounds	audio_volume_mute
Hey turn the volume high	audio_volume_up
set the music volume to ninety	audio_volume_up
olly turn the volume up	audio_volume_up
increase the volume a bit	audio_volume_up
i can't hear you	audio_volume_up
raise the volume to sixty	audio_volume_up
speak louder	audio_volume_up
i need to hear sound on my speakers	audio_volume_up
change the speaker volume to sixty five percent	audio_volume_up
i need a high volume	audio_volume_up
turn up the volume of my speakers	audio_volume_up
turn the volume up	audio_volume_up
speak as loud as you can	audio_volume_up
turn up radio volume	audio_volume_up
speak louder please	audio_volume_up
raise volume to level seven on music player	audio_volume_up
raise the volume of the current music	audio_volume_up
adjust media volume up	audio_volume_up
i want the speakers turned up high	audio_volume_up
audio on	audio_volume_up
turn up speakers	audio_volume_up
please increase the volume of the current song	audio_volume_up
on the music player set the volume level at sixty	audio_volume_up
turn up your volume	audio_volume_up
speaker volume increase	audio_volume_up
turn up music please	audio_volume_up
hey sound is low can you tune it up	audio_volume_up
up the volume the sound is too low	audio_volume_up
raise the volume of my music player by fifty percent	audio_volume_up
please speak loud	audio_volume_up
please turn the volume to the loudest setting	audio_volume_up
raise speaker volume	audio_volume_up
can you increase the volume of the speakers	audio_volume_up
more volume please	audio_volume_up
i am unable to hear you can you speak little loud	audio_volume_up
i can't hear you speak up	audio_volume_up
bring back talking after	audio_volume_up
please raise the volume of speaker	audio_volume_up
please increase the volume	audio_volume_up
turn up	audio_volume_up
increase the volume to seventy percent	audio_volume_up
increase the volume of the left speaker by ten	audio_volume_up
please turn up the speaker volume	audio_volume_up
i can barely hear you	audio_volume_up
please decrease the volume of this song	audio_volume_up
turn the sound up	audio_volume_up
make sound louder	audio_volume_up
please increase the volume of the music hips don't lie	audio_volume_up
unmute my sound	audio_volume_up
get louder	audio_volume_up
tell me the meetings i have for the week	calendar_query
when the meeting start	calendar_query
tell me about my upcoming week	calendar_query
shall we meet for today's party	calendar_query
do i need to pick up the kids from anything today	calendar_query
where am i supposed to be by this time tomorrow	calendar_query
is there any events planned for the next three months	calendar_query
what is my schedule for tomorrow	calendar_query
what meetings are available in march	calendar_query
do the knicks have a game at home tonight	calendar_query
do i have any calendar events this month	calendar_query
give me the reminders	calendar_query
please check my reminders	calendar_query
what's my next appointment	calendar_query
show me my reminders	calendar_query
am i available at five pm on sunday	calendar_query
let me know about upcoming events	calendar_query
am i on vacation this week	calendar_query
do i have meeting with steve this week	calendar_query
what's on my schedule this week	calendar_query
whats my schedule today	calendar_query
